Code;Condition;Sexe;Age;Haut_visage;Bas_visage;Clignements;Yeux;Tete;Buste;Bras;Mains;Jambes;Pieds;Self_Adaptators;Pas_P1_P2;Temps_P1_P2;Vitesse_P1_P2;Haut_visage2;Bas_visage2;Clignements2;Yeux2;Tete2;Buste2;Bras2;Mains2;Jambes2;Pieds2;Self_Adaptators2;Pas_P2_Cible;Temps_P2_Cible;Vitesse_P2_Cible;EAFF_BES;Ecog_BES;CogSc_BES;ContSc_BES;DecoSc_BES;Total_BES;Machiavelisme_DDS;Psychopathie_DDS;Narcissisme_DDS;Total_DDS;R_QI;QPM38_QI;Centile_QI;Activation_Generale_Trait_ADCL;Serenite_Trait_ADCL;Anxiete_Trait_ADCL;Autres_ADCL;Activation_Etat_ADCL;Serenite_Etat_ADCL;Fatigue_Etat_ADCL;Excitation_ADCL;Extraversion_BFI;Agreabilite_BFI;Conscienseuxse_BFI;Nevrotisme_BFI;Ouverture_Esprit_BFI;Comedie_SM;Extraversion_SM;PresDeSoi_SM;Total_SM
MA07;A;M;23;1;0;10;7;9;0;0;0;13;0;0;8;9;1.78;1.33;4.33;11.67;15.33;3.33;2.33;0;0;6.33;0.33;0;5.33;5;1.07;37;40;27;21;9;73;15;7;15;37;5.088586039;53.91141396;90;21;24;11;7;23;22;11;7;4;3;4;3.5;2.5;3;2;3;9
MA08;A;M;18;0;1.34;4.66;5.34;3.34;0;0;0;17.34;0;2;10.66;10.66;2;0;0;6.33;6.67;5.33;1.33;0.67;2;17;0;0.33;7;6.17;1.13;31;27;23;10;15;50;7;13;19;39;5.088586039;53.91141396;90;18;29;11;4;19;29;8;6;3.5;4.5;3.5;4;1.5;1;2;2;6
MA09;A;M;21;0;2;8;16;26;1;0;0;5;2;6;10;13;1.54;0;3;9;4.33;4;0;0;0.33;4;0;0.33;6;6;1;38;48;34;24;8;82;11;11;21;43;5.864985442;52.13501456;90;31;25;14;6;33;24;12;7;3.5;3.5;4.5;3;2.5;3;3;1;8
MT02;T;M;27;0;3;11;9;10;4;0;0;7;1;4;7;10;1.4;0;0.33;4.67;5.33;2;0;0.33;3;1.33;0;2.67;5.67;5.67;1;41;46;32;26;7;83;4;8;11;23;6.079971449;51.92002855;90;22;18;24;8;25;19;15;13;3.5;2;4.5;3;1.5;3;4;2;9
MT03;T;M;19;0;7.34;6.66;12;6.66;2;0;0;8;5.34;0;11.34;9.66;2.34;0;0;7;3;3.67;2.33;0;0;1;1.67;1.33;5.33;5;1.07;42;40;28;23;9;76;17;12;23;52;6.315456239;51.68454376;90;16;22;18;8;20;22;11;11;4;4.5;3;4;3;4;3;3;11
MT04;T;M;22;0.66;0.66;8.66;10.66;4.66;0;4.66;6;24;0;1.34;11.34;10;2.26;0;3;15.67;7;5.33;0;0.67;0.33;5.67;0;3;5.67;5.33;1.06;41;41;31;27;6;82;11;6;16;33;6.79372913;51.20627087;90;24;24;16;8;27;23;13;9;4;4;3.5;3;2;3;2;1;7
MT05;T;M;21;0;2;8.66;6;8.66;6.66;0.66;0;8.66;2.66;2.66;10;10.66;1.88;0;0.67;9.67;3.33;1.33;0.33;0;3;1.33;0;1.67;6;6.67;0.9;37;43;33;24;18;71;13;20;23;56;32.52470648;19.47529352;5;29;27;13;7;30;28;9;9;5;3;3;3.5;4;0;0;1;1
MT06;T;M;27;0.48;1.96;8.18;9.7;8.48;2.04;0.66;1.12;9.38;1.22;2.14;10.12;10.34;1.96;0.33;5.33;5.33;9.67;7;9.33;0;7;1.33;0.67;6;6;5.67;1.06;46;46;32;22;7;87;4;18;4;26;16.72659554;38.27340446;50;29;27;12;6;31;25;10;8;3.5;2.5;3;3;4;2;4;0;7
MT07;T;M;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.67;3.33;3.33;3.67;1.33;0.67;0;4;0;22.33;5.33;5.67;0.94;38;47;33;23;13;79;6;6;12;24;6.315456239;51.68454376;90;21;24;16;7;23;24;11;10;2.5;4.5;2.5;3;2;4;0;2;7
MT08;T;M;18;0;1.34;6.66;7.34;7.34;0;0;2.66;0;0;0.66;11.34;10.34;2.2;0;0.67;7.67;8;6;0;0;0.33;0.33;0;0.67;5.67;5.83;0.97;44;48;36;19;16;81;20;14;6;40;5.088586039;53.91141396;90;24;32;20;7;28;35;14;6;4;4;3;4.5;3.5;5;3;2;11
MT09;T;M;20;0;0;5.34;2.66;2;4;0;2;4;11.34;0;6;10.34;1.16;1;1.33;5;2.33;2;0.33;0.67;0;5;0;11;5.33;6.67;0.8;39;39;28;24;7;75;6;12;15;33;5.088586039;53.91141396;90;15;19;24;6;19;21;13;11;2;3;2.5;3.5;4;4;5;3;12
